average_value,region
41653437607.786194,North America
3882406275.6886358,East Asia & Pacific
2696534813.8836946,South Asia
2374149029.0455513,Europe & Central Asia
973477665.33144236,Middle East & North Africa
965999068.54757214,Latin America & Caribbean
211692028.70653766,Sub-Saharan Africa
